delta_pose,ir
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.158  0.758  0.150  0.147]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.365  0.137  0.758  0.129  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.154  0.831  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.132  0.758  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.690  0.365  0.160  0.772  0.152  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.133  0.679  0.130  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.163  0.772  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.140  0.631  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.681  0.365  0.146  0.801  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.369  0.163  0.565  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.369  0.133  0.758  0.141  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.369  0.158  0.815  0.145  0.140]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.365  0.133  0.666  0.150  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.365  0.156  0.996  0.150  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.140  0.619  0.129  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.369  0.154  0.815  0.145  0.149]
[ 0.000000  0.000000  0.000000],	[ 0.775  0.365  0.150  0.515  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.699  0.356  0.148  0.815  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.356  0.142  0.575  0.130  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.135  0.815  0.145  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.374  0.135  0.631  0.148  0.133]
[ 0.000000  0.000000  0.000000],	[ 0.699  0.365  0.148  0.666  0.145  0.125]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.156  0.654  0.154  0.128]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.369  0.140  0.608  0.148  0.127]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.148  0.555  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.139  0.619  0.145  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.163  0.619  0.150  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.140  0.927  0.130  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.745  0.365  0.154  0.555  0.148  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.369  0.132  1.071  0.145  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.154  0.679  0.150  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.130  1.071  0.150  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.154  0.831  0.150  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.365  0.139  1.071  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.160  0.877  0.150  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.156  1.071  0.152  0.136]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.361  0.150  0.772  0.148  0.137]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.361  0.158  1.071  0.148  0.136]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.140  0.772  0.150  0.136]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.170  1.071  0.152  0.140]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.156  0.831  0.136  0.136]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.174  1.071  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.365  0.152  0.744  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.356  0.154  1.052  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.154  0.772  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.156  0.996  0.148  0.140]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.365  0.154  0.772  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.361  0.163  0.731  0.150  0.127]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.148  0.772  0.152  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.369  0.174  0.815  0.125  0.150]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.365  0.156  0.772  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.690  0.365  0.177  0.815  0.150  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.775  0.365  0.127  0.758  0.148  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.174  0.744  0.130  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.365  0.139  0.545  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.708  0.365  0.163  0.744  0.150  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.745  0.365  0.140  0.575  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.785  0.365  0.150  0.815  0.150  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.374  0.142  0.831  0.145  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.365  0.148  0.758  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.365  0.160  1.071  0.145  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.163  0.555  0.150  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.163  1.014  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.163  0.565  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.690  0.365  0.163  1.033  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.154  0.801  0.150  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.775  0.343  0.172  0.927  0.148  0.113]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.312  0.154  0.978  0.148  0.061]
[ 0.000000  0.000000  0.000000],	[ 0.664  0.225  0.182  1.052  0.148  0.001]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.222  0.156  0.961  0.150  0.179]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.275  0.174  1.014  0.148  0.013]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.369  0.156  1.014  0.148  0.140]
[ 0.000000  0.000000  0.000000],	[ 0.795  0.369  0.172  1.071  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.708  0.361  0.167  1.014  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.374  0.152  1.090  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.361  0.174  1.014  0.129  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.745  0.365  0.130  0.978  0.148  0.127]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.369  0.167  1.033  0.150  0.127]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.369  0.132  0.786  0.150  0.131]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.172  1.071  0.152  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.775  0.365  0.137  0.691  0.148  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.681  0.365  0.140  1.033  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.775  0.361  0.163  0.801  0.148  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.133  0.961  0.150  0.140]
